Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
26	Spectrogram 1	1	37.15	37.25	0.100000000000001	0	234.375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	37.15	5047.200418195313.wav	NN	NA	BlobDetector	0.622813417083156
27	Spectrogram 1	1	39.62	39.73	0.110000000000007	23.4375	445.3125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	39.62	5047.200418195313.wav	FS	NA	BlobDetector	0.67419926680179
28	Spectrogram 1	1	40.51	40.59	0.0800000000000054	23.4375	58.59375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	40.51	5047.200418195313.wav	NN	NA	BlobDetector	0.562484780651718
29	Spectrogram 1	1	40.51	40.6	0.0900000000000034	117.1875	339.84375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	40.51	5047.200418195313.wav	FS	NA	BlobDetector	0.921948516419339
30	Spectrogram 1	1	41.25	41.36	0.109999999999999	0	468.75	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	41.25	5047.200418195313.wav	FS	NA	BlobDetector	0.592504101544181
31	Spectrogram 1	1	44.01	44.19	0.18	0	1019.53125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	44.01	5047.200418195313.wav	NN	NA	BlobDetector	0.806786776986047
32	Spectrogram 1	1	45.7	45.82	0.119999999999997	0	386.71875	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	45.7	5047.200418195313.wav	NN	NA	BlobDetector	0.80691490907529
33	Spectrogram 1	1	45.86	46.03	0.170000000000002	0	351.5625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	45.86	5047.200418195313.wav	NN	NA	BlobDetector	0.618821282997354
34	Spectrogram 1	1	46.13	46.18	0.0499999999999972	902.34375	937.5	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	46.13	5047.200418195313.wav	NN	NA	BlobDetector	1
35	Spectrogram 1	1	46.29	46.47	0.18	0	398.4375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	46.29	5047.200418195313.wav	NN	NA	BlobDetector	0.524199846620626
